epoch	pswpout	pswpin	allocstall	memavail_kb	swpd_kb	runq
1789669357	30158417	23270692	1652804	86592032	28110856	4.23
1789669367	30158417	23271715	1652804	86574780	28110756	4.04
1789669377	30158417	23273211	1652804	87340224	28109620	3.88
1789669387	30158417	23274884	1652804	89974852	28109472	4.06
1789669397	30158505	23274891	1656297	90168360	28183240	4.20
1789669407	30175432	23274930	1658541	91030256	28453980	4.24
1789669417	30190204	23275189	1658631	81371816	28471260	6.82
1789669427	30190332	23275232	1658631	65865068	28471048	6.53
1789669437	30198377	23275370	1669269	58595028	29738476	7.48
1789669447	30207342	23276267	1674299	53465748	30232500	7.41
1789669457	30207342	23278062	1674299	52079972	30212456	7.03
1789669467	30207342	23278218	1674299	50953112	30201360	6.65
1789669477	30207342	23279858	1674299	51918972	30128608	6.31
1789669487	30207342	23282185	1674299	51576168	30121384	6.04
1789669497	30207342	23282617	1674299	51829804	30117904	5.72
1789669507	30207342	23282865	1674299	51791384	30116256	5.46
1789669517	30207342	23283125	1674299	51827812	29755120	5.46
1789669527	30207342	23283205	1674299	51694948	29751768	5.64
1789669537	30207342	23283508	1674299	51548064	29748772	5.37
1789669547	30207342	23283625	1674299	51434896	29745136	5.17
1789669557	30207342	23283706	1674299	51351408	29744636	5.22
1789669567	30207342	23283775	1674323	50089480	29741720	5.34
